"","COI.0421.1Prt.Dn.2","COI.0421.1Prt.Up.1","COI.0421.1Prt.Up.3","Delta.1m1.072021","Delta.1m2.072021","Delta.1m3.072021","MBT.1m1.072021"
"NA__NA__NA__NA__NA__NA__NA__Seq_0126",79,23,122,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0127",95,92,36,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0128",105,40,76,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0129",41,82,98,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0130",40,104,77,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0131",87,51,79,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0132",44,84,89,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0133",57,79,80,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0134",38,93,84,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0135",67,60,86,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0136",34,37,142,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0137",88,69,53,0,0,0,0
"NA__NA__Dinophyceae__Peridiniales__Thoracosphaeraceae__Thoracosphaera__Thoracosphaera heimii__Seq_0138",148,60,0,0,0,0,0
"NA__Bacillariophyta__NA__NA__NA__NA__NA__Seq_0139",112,18,77,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0140",159,0,46,0,0,0,0
"NA__Bacillariophyta__NA__NA__NA__NA__NA__Seq_0141",87,31,87,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0142",52,54,99,0,0,0,0
"NA__Bacillariophyta__NA__NA__NA__NA__NA__Seq_0143",106,30,68,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0144",148,0,55,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0145",102,15,84,0,0,0,0
"Metazoa__Rotifera__Bdelloidea__NA__NA__NA__NA__Seq_0146",200,0,0,0,0,0,0
