"","COI.0421.2Brn.Up.1","COI.0421.2Brn.Up.3","COI.0421.3Chk.Dn.1","COI.0421.4Pad.Up11.3","COI.0421.5Sqm.Dn.2","COI.0421.5Sqm.Up.2","COI.0821.3Chk.Up.2","COI.0821.4Pad.Dn.1","COI.0821.4Pad.Up11.1","COI.0821.4Pad.Up5.2","COI.Kangaroo.Run.2"
"Metazoa__Cnidaria__NA__NA__NA__NA__NA__Taxon_125",0,4,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_126",0,4,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_127",0,4,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_128",0,4,0,0,0,3,0,0,0,0,0
"Metazoa__Rotifera__Bdelloidea__NA__NA__NA__NA__Taxon_129",0,4,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_130",0,4,0,0,0,0,0,0,0,0,0
"Viridiplantae__Chlorophyta__Chlorophyceae__Chlamydomonadales__NA__NA__NA__Taxon_131",0,4,0,0,0,0,0,0,0,0,0
"Metazoa__Annelida__Clitellata__NA__NA__NA__NA__Taxon_132",0,4,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_133",0,5,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_134",0,3,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_135",0,3,0,0,0,0,0,0,0,0,0
"Metazoa__Rotifera__Monogononta__Ploima__NA__NA__NA__Taxon_136",0,3,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_137",0,3,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_138",0,3,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_139",0,3,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_140",0,3,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_141",0,3,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_142",0,2,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_143",0,2,2,0,0,0,0,0,0,0,0
"Metazoa__Arthropoda__NA__NA__NA__NA__NA__Taxon_144",0,2,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_145",0,2,0,0,0,0,0,0,0,0,0
"Metazoa__Arthropoda__Insecta__Hemiptera__Pentatomidae__Banasa__Banasa dimiata__Taxon_146",0,2,0,0,0,0,0,0,0,0,0
"Metazoa__Annelida__Clitellata__Haplotaxida__Lumbricidae__Dendrobaena__Dendrobaena octaedra__Taxon_147",0,2,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__NA__NA__NA__NA__NA__Taxon_148",0,0,17,0,22,12,1347,5,33,0,0
"Metazoa__Rotifera__Bdelloidea__NA__NA__NA__NA__Taxon_149",0,0,165,0,0,0,0,0,0,0,0
"Viridiplantae__Chlorophyta__Chlorophyceae__Chlamydomonadales__NA__NA__NA__Taxon_150",0,0,227,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_151",0,0,151,0,0,0,0,0,0,0,0
"Viridiplantae__Chlorophyta__Chlorophyceae__Chlamydomonadales__NA__NA__NA__Taxon_152",0,45,98,0,57,66,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_153",0,0,4,0,0,11,31,0,7,18,0
"Fungi__NA__NA__NA__NA__NA__NA__Taxon_154",0,0,8,0,47,15,0,0,0,0,0
"Metazoa__Rotifera__Bdelloidea__NA__NA__NA__NA__Taxon_155",0,0,49,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_156",0,0,6,0,19,27,7,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_157",0,0,43,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_158",0,0,37,0,0,0,0,7,0,0,0
"Metazoa__Arthropoda__Insecta__Diptera__Simuliidae__NA__NA__Taxon_159",0,0,18,0,0,19,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_160",0,0,31,0,0,0,3,0,0,12,0
"Metazoa__Annelida__Clitellata__Haplotaxida__Lumbricidae__Dendrodrilus__Dendrodrilus rubidus__Taxon_161",0,0,9,0,0,0,21,0,0,0,0
"Metazoa__Annelida__Clitellata__NA__NA__NA__NA__Taxon_162",0,6,10,2,0,13,19,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_163",0,0,27,0,0,0,0,0,0,0,0
"Viridiplantae__Chlorophyta__Chlorophyceae__Chlamydomonadales__NA__NA__NA__Taxon_164",0,0,10,0,8,9,8,0,0,0,0
"Metazoa__Annelida__Clitellata__Haplotaxida__Lumbricidae__Aporrectodea__Aporrectodea caliginosa L3__Taxon_165",0,0,10,0,0,14,0,0,0,0,0
"Metazoa__Rotifera__Monogononta__Ploima__Synchaetidae__Synchaeta__NA__Taxon_166",0,0,17,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_167",0,0,17,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_168",0,0,12,0,0,0,0,0,0,0,0
"Metazoa__Annelida__Clitellata__Haplotaxida__NA__NA__NA__Taxon_169",0,0,11,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_170",0,0,11,0,0,0,7,0,0,4,0
"Metazoa__Arthropoda__Collembola__NA__NA__NA__NA__Taxon_171",0,0,11,0,0,0,0,0,0,0,0
