"","NGN0340","NGN0341","NGN0342","MGY11","NGN0343","MGY12","NGN0344","NGN0345","NGN0346","NGN0347","NGN0348","NGN0349","NGN0350","NGN0351","NGN0352","NGN0353","NGN0354","NGN0355","NGN0356","NGN0357","NGN0358","NGN0359","MGY13","MGY14","MGY15","MGY16","MGY17"
"NA__NA__NA__NA__NA__NA__NA__Seq_0129",0,0,6,0,0,0,0,0,0,0,7,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0130",0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0131",0,0,11,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,12,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0132",0,0,10,0,0,0,0,0,0,0,6,13,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0133",0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0134",0,0,8,0,0,0,0,0,0,0,15,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0135",0,0,8,0,0,0,0,0,0,0,6,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0136",0,0,7,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,8,10,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0137",0,0,6,0,0,0,0,0,0,0,23,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0138",0,0,33,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0139",0,0,13,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,14,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0140",0,0,2,0,0,0,0,0,0,0,4,6,26,0,0,0,0,0,0,5,0,0,0,0,0,0,0
