"","representative","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"117","d49556be511b453fb857fbf5546900276c8c80b7",9611,"Canis","genus",0.9883,"Metazoa","Chordata","Mammalia","Carnivora","Canidae","Canis",""
"118","bbc21fdda1a08dbfd35791494fa45e80ce71e55b",1,"root","no rank",1,"","","","","","",""
"119","52b243aa0f20605f285bc1dc5738230e4ac2d4f0",33213,"Bilateria","clade",0.9517,"Metazoa","","","","","",""
"120","c597d2da9b8ec395079906a237687c95255e3965",1,"root","no rank",1,"","","","","","",""
"121","6f8881a957d250fa5317484de99986d421535178",9611,"Canis","genus",0.9979,"Metazoa","Chordata","Mammalia","Carnivora","Canidae","Canis",""
"122","d007dbf1706c7fa8f4131844500ee793a7f01de9",1,"root","no rank",1,"","","","","","",""
"123","9ecf03dc75d2fe69d7e48667d930b6499416c13c",1,"root","no rank",1,"","","","","","",""
"124","48602df90fc5fcec4a8bc2cb382bcc300393c863",1,"root","no rank",1,"","","","","","",""
"125","d0dfe17d82c17c9951fded5d298acd80e2162b76",1,"root","no rank",1,"","","","","","",""
"126","4e0aaf7fdd831587b483be6eade759395f088552",1,"root","no rank",1,"","","","","","",""
"127","1113472f01461b910417824a3b30f4c29dc6baaf",1,"root","no rank",1,"","","","","","",""
"128","b9286e7d00341090882184f5b386f2cd3c61e051",337687,"Muroidea","clade",1,"Metazoa","Chordata","Mammalia","Rodentia","","",""
"129","bb1cc3902b7d9e1b902a44ba619d14a2c6f909b6",466585,"Tetraoninae","subfamily",0.9987,"Metazoa","Chordata","Aves","Galliformes","Phasianidae","",""
"130","d3866704b33054e7e2070a7ad75eb7b115b064d4",1,"root","no rank",1,"","","","","","",""
"131","c6be405669c4d4d5ae91e15576ef8906a3ca3a41",183663,"Soricinae","subfamily",0.9512,"Metazoa","Chordata","Mammalia","Eulipotyphla","Soricidae","",""
"132","3342529986f8f5933a533bf1f2e975e9b677cb7b",8092,"Cottidae","family",0.9216,"Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","",""
"133","4bf59be8992869575396129537cadc475f882cff",1,"root","no rank",1,"","","","","","",""
"134","528f542ea459289ea289fd1b4bdc26a33cbfcb89",1,"root","no rank",1,"","","","","","",""
"135","b6b31c935db698ed479cf15f6f3b52cbe2ce4b32",337687,"Muroidea","clade",1,"Metazoa","Chordata","Mammalia","Rodentia","","",""
"136","e0880a20155dd3e7ab215ec42c5a47d863dcd7c1",1,"root","no rank",1,"","","","","","",""
"137","ff10f5da23cc5da1524ed322dd5fb62e3e208f9c",1,"root","no rank",1,"","","","","","",""
"138","44d1216137dce83e101b77a76dc260d246d933ef",9072,"Phasianinae","subfamily",0.999,"Metazoa","Chordata","Aves","Galliformes","Phasianidae","",""
"139","3aae89a287ae59f1da0a1f04f508f67939fd260e",9612,"Canis lupus","species",0.914,"Metazoa","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"140","d48d0dc0c250df79136717fc7a034d3dfd6db0f0",1,"root","no rank",1,"","","","","","",""
"141","ae072da6766540acd369d0e89b6d68fde7866214",8092,"Cottidae","family",0.9194,"Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","",""
"142","ca63ff4e2cee66494b9478cebbac6c57b26d6542",1,"root","no rank",1,"","","","","","",""
"143","c3d70509c5668753ea0deb030ceead7241a77591",1,"root","no rank",1,"","","","","","",""
"144","f3b74c85c0bdd0beba57a87b50994f3a01ddd199",371919,"Pheucticus melanocephalus","species",NA,"Metazoa","Chordata","Aves","Passeriformes","Fringillidae","Pheucticus","Pheucticus melanocephalus"
"145","c7881b41d017824206bd41cd3453007fe971d77e",1,"root","no rank",1,"","","","","","",""
"146","0502a89869e20d6586b3ccd464f94e1feaec8da0",9611,"Canis","genus",0.9997,"Metazoa","Chordata","Mammalia","Carnivora","Canidae","Canis",""
"147","f04ddd4e956a0381e7c05c16346c6826b8c719ea",1,"root","no rank",1,"","","","","","",""
"148","fd43cf9eb71d98e18a104cbd38118304477da40f",1,"root","no rank",1,"","","","","","",""
"149","58766ecc6217cf9cc0094084a6e3eacf72b553fa",1,"root","no rank",1,"","","","","","",""
"150","85608f4b95519563e1702090189d590590cea61b",69291,"Gasterosteidae","family",0.9975,"Metazoa","Chordata","Actinopteri","Perciformes","Gasterosteidae","",""
"151","ad970f00c6503e83436f8951e6b1dc0ef42d519b",1,"root","no rank",1,"","","","","","",""
"152","f3793fcf91d62aa00446a2cfd73f2eb28ef54d3e",1,"root","no rank",1,"","","","","","",""
"153","a49b3e7430f3c69743d4f9e5730676fe669a2530",1,"root","no rank",1,"","","","","","",""
"154","8828dbea272cc6952163b0c035e1439792fe4507",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"155","2b64fb8afa917b539ad0fe946e8484895608460a",1,"root","no rank",1,"","","","","","",""
"156","05ca934731ab067ddda80c109b6f751adf56d389",1,"root","no rank",1,"","","","","","",""
"157","733188111a756f8216f98a3dfad1f09f1aa265db",9126,"Passeriformes","order",0.9527,"Metazoa","Chordata","Aves","Passeriformes","","",""
"158","a46b37205aeb3ba26fbc98ff780a82d1ff621a32",9611,"Canis","genus",0.9979,"Metazoa","Chordata","Mammalia","Carnivora","Canidae","Canis",""
"159","b46c80358781f89d8d31a4f594d632226fbb9687",1,"root","no rank",1,"","","","","","",""
"160","298e4a7ba813b8c4aaba63985e35daad007212bb",504568,"Salmoninae","subfamily",1,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"161","84b36b9d56dc180c011292a57b711904b43f4ec5",1,"root","no rank",1,"","","","","","",""
"162","673e8585cf20e34fffd5ef53303a189880be4218",504568,"Salmoninae","subfamily",0.9958,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"163","a4f37466199bbd11d7b267eb946a3c683312724e",1,"root","no rank",1,"","","","","","",""
"164","52043f9073c395d5bc2f222578e17f1748e40fa1",1,"root","no rank",1,"","","","","","",""
"165","e72055022b8149f013d288146db1df79fcbb8f7b",9347,"Eutheria","clade",0.9987,"Metazoa","Chordata","Mammalia","","","",""
"166","5e08243add1f3244899d45e4e31cf18f8af6bd3f",337687,"Muroidea","clade",1,"Metazoa","Chordata","Mammalia","Rodentia","","",""
"167","1a5899b9fd810230a7596995a978358f42979a45",1437010,"Boreoeutheria","clade",1,"Metazoa","Chordata","Mammalia","","","",""
"168","f22f946bfb36bec4651a7c53b06a54c54c649c6c",8830,"Anatidae","family",0.9964,"Metazoa","Chordata","Aves","Anseriformes","Anatidae","",""
"169","50aa4af15cf572d3d0450a8cc4432956622bbc90",1,"root","no rank",1,"","","","","","",""
"170","7bb7a51d1a08bd7062e1124137dcd7e4380fb660",1,"root","no rank",1,"","","","","","",""
"171","66bd2aa6a896a0fdd7244f48eb647c973a5e8efa",1,"root","no rank",1,"","","","","","",""
"172","178eb54326b97b3c713d32c9156e905a9ff6ccd0",1,"root","no rank",1,"","","","","","",""
"173","92876da839807a61cbaf549c3872b8faa2b2c36d",9922,"Capra","genus",NA,"Metazoa","Chordata","Mammalia","Artiodactyla","Bovidae","Capra",""
"174","cd95a9d4b4b049792bb1cf2033b33c0dc30fef5d",9317,"Macropus giganteus","species",1,"Metazoa","Chordata","Mammalia","Diprotodontia","Macropodidae","Macropus","Macropus giganteus"
"175","20a8d53d69f04fd3167333b2ebf129ea27430749",1,"root","no rank",1,"","","","","","",""
"176","3c4cd1a5d5fbad21b8acc3f38923dff58f6674ee",7746,"Petromyzontidae","family",1,"Metazoa","Chordata","Hyperoartia","Petromyzontiformes","Petromyzontidae","",""
"177","2940667037e96bb494f98b5b0e70ed4e8aafcee1",1489388,"Euteleosteomorpha","cohort",1,"Metazoa","Chordata","Actinopteri","","","",""
"178","3cd6ecb0094b2204bc423fbcb733bba854148159",1,"root","no rank",1,"","","","","","",""
"179","31ab0c5749b429f299854c2deb582124863edf28",1,"root","no rank",1,"","","","","","",""
"180","3ed156a3e5e742b43c60612b48d5ca7546713930",1,"root","no rank",1,"","","","","","",""
"181","34226b185eee7705ae792bd04e753076d58c2d64",1,"root","no rank",1,"","","","","","",""
"182","845eccf5618375e40b2b7d9f187654b4e10561eb",1,"root","no rank",1,"","","","","","",""
"183","22fc3cdba0f4657ff422ab3182ed22584bf0d824",1,"root","no rank",1,"","","","","","",""
"184","227451580f6ea45d6bdc6e253c573ec697dabfe5",1,"root","no rank",1,"","","","","","",""
"185","357ef03286e7c0238f76a0a8853e96d7fc45e7cc",8295,"Ambystoma","genus",1,"Metazoa","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma",""
"186","36b5ccbec7fb1e906dd31d31be6bd2c5c67b8f0f",1,"root","no rank",1,"","","","","","",""
"187","d8ce50d202c1f0b0903663ce95ad5bc3617f721b",1,"root","no rank",1,"","","","","","",""
"188","8605b9b9ca920bfc6b890e52ba53b4d8259808b9",1,"root","no rank",1,"","","","","","",""
"189","65a415a6de708aa856338256a6498c50154ec9bc",1,"root","no rank",1,"","","","","","",""
"190","c49a8f7144e51f8a0d46c19d4c50ac4e41772a40",39087,"Arvicolinae","subfamily",1,"Metazoa","Chordata","Mammalia","Rodentia","Cricetidae","",""
"191","38bcffcaaef5ece652d80395ba75160f8eee0a85",1,"root","no rank",1,"","","","","","",""
"192","8114dfd437881921902818ddafce8048cc1531da",1,"root","no rank",1,"","","","","","",""
"193","3cd8e8a409eaddc1aba2ae76194192532418a39a",1,"root","no rank",1,"","","","","","",""
"194","20a9c4751ed251e3c0f35a775d46c080075382d8",8830,"Anatidae","family",0.913,"Metazoa","Chordata","Aves","Anseriformes","Anatidae","",""
"195","70c4d9314ccf62e10f0f84f6caeadd9f37c61c4c",1,"root","no rank",1,"","","","","","",""
"196","9909bee25e8823417eb948adff435402308466d2",1,"root","no rank",1,"","","","","","",""
"197","badd9ec5373d0d63c8fa9cdacfe764be016bcfcb",1,"root","no rank",1,"","","","","","",""
"198","8b04cbb8e5952caae0d4d1f3f3e0de0e84e505db",1,"root","no rank",1,"","","","","","",""
"199","d70d397f030e0807656af0cf534348d7cbb8ff16",1,"root","no rank",1,"","","","","","",""
"200","cd73761d7e6115ce945d9f0af2c69ab23b89e5ac",1,"root","no rank",1,"","","","","","",""
"201","26c83621552ce0bff8db551c5129d9eccf7d9a50",126287,"Didelphinae","subfamily",1,"Metazoa","Chordata","Mammalia","Didelphimorphia","Didelphidae","",""
"202","02b0b7757ccbe1914ef237b1fea62591ae52f9a1",1,"root","no rank",1,"","","","","","",""
"203","401f29b9ca726f305ffa0f8e58bfdfc74aee330d",1,"root","no rank",1,"","","","","","",""
"204","34dfcd4f5aa179a482e53bdbec1c5bbfdc1920d0",1,"root","no rank",1,"","","","","","",""
"205","0ef847ecc2c0f9b9bc623b156a2a005c9bbd006d",33213,"Bilateria","clade",0.9497,"Metazoa","","","","","",""
"206","80b393f13810fac57278c2947983d31c1972003b",337752,"Sciurini","tribe",0.9997,"Metazoa","Chordata","Mammalia","Rodentia","Sciuridae","",""
"207","ffd2b416107ce26dab3534a7d21b881821a720db",1,"root","no rank",1,"","","","","","",""
"208","c82b00d717919e4086632863f8b9b5ba0a259077",13103,"Lampetra","genus",0.905,"Metazoa","Chordata","Hyperoartia","Petromyzontiformes","Petromyzontidae","Lampetra",""
"209","6e786f86814f711d76b684226fbc0dbbc0a127ac",1,"root","no rank",1,"","","","","","",""
"210","9c0e4de35f20af260dd18966e1f888c50e499085",1,"root","no rank",1,"","","","","","",""
"211","ac4db7e3c5dc8c6547c36ec26d59d476a08b4335",1,"root","no rank",1,"","","","","","",""
"212","07ce88521ee463d1dba5ca706bebe49ba4024a1a",1,"root","no rank",1,"","","","","","",""
"213","23ddcc60b8d55ce40b45e6d3c935eb2edba4fe6b",1,"root","no rank",1,"","","","","","",""
"214","c1ea8b13559932353321cd0578996d3c479fa196",1,"root","no rank",1,"","","","","","",""
"215","1e08dd663cd11070046f2732dce934e356a6adec",1,"root","no rank",1,"","","","","","",""
"216","196b24089169b328baf82748b456877f81d3256c",1,"root","no rank",1,"","","","","","",""
"217","f54c6830d7c1a405c901183d576f0573af051103",1,"root","no rank",1,"","","","","","",""
"218","c08cef58ad78fd0eeaa95478edafcf980a5288ef",1,"root","no rank",1,"","","","","","",""
"219","6511e6417d6ed912a3dc8d75f7b2554a06b9067d",1,"root","no rank",1,"","","","","","",""
