Sample_name,Locus,Hash,nReads
COI.0421.1Prt.Dn.2,COI2,91500f3813b373cac3d5cf83ce42f3a16403a51b,94
COI.0421.1Prt.Dn.2,COI2,7e40b99900426c9b3b51b44bec3511fd450e8384,127
COI.0421.1Prt.Dn.2,COI2,5ed6641ec8278f3db1b846d930a30bd4f3c59068,31
COI.0421.1Prt.Dn.2,COI2,620bcf1645fd5234a8705acbc7ad38071a0dec98,110
COI.0421.1Prt.Dn.2,COI2,9dcf6a68f3c3b91890015c8f4a91bcd8fa5663f5,233
COI.0421.1Prt.Dn.2,COI2,1e35f62203f6c36155b92d162364d280531b3d21,186
COI.0421.1Prt.Dn.2,COI2,ffbca28c306295d3340c5def45a371549dcd95ac,58
COI.0421.1Prt.Dn.2,COI2,de33144cb7fd9152867029c372f932783ccda83b,120
COI.0421.1Prt.Dn.2,COI2,b206ebf4d9297c4bedc88d384d6c4700f85009ee,231
COI.0421.1Prt.Dn.2,COI2,d23138c48b5aa2e67890fa938710fd7f02789942,34
COI.0421.1Prt.Dn.2,COI2,d5cc408f798991ff7b2f6bab9ec3b9bc928decdf,91
COI.0421.1Prt.Dn.2,COI2,84cddcd0725a819dcfa0d660d2eed544605d9d1a,78
COI.0421.1Prt.Dn.2,COI2,a78821074ec35277222369cff2ac1f6cfe878e7c,47
COI.0421.1Prt.Dn.2,COI2,22b2d8cfc681ff05f45a1e1cf80fbfc01948c136,79
COI.0421.1Prt.Dn.2,COI2,6dc4b6d04e6da1966c3a40c19cd043b478d52553,95
COI.0421.1Prt.Dn.2,COI2,c6efe0a881778b95f5b5237887646bd760d79a9d,105
COI.0421.1Prt.Dn.2,COI2,e8c7adf46df60fa551e8fefbbc780be1e38247ea,41
COI.0421.1Prt.Dn.2,COI2,7360b9a05119140e50d5aff469a0c44146eb2733,40
COI.0421.1Prt.Dn.2,COI2,d1417ca87446d4f2aa9069810f3341c99fa05b52,87
COI.0421.1Prt.Dn.2,COI2,aff025030d146759ac20f1af1bd8911f563934ee,44
COI.0421.1Prt.Dn.2,COI2,cbbe0e3dd6927aa4ba1d20c43a3858fb30406217,57
COI.0421.1Prt.Dn.2,COI2,1655349265a8f75efd9d5cb44e027914e0fe245f,38
COI.0421.1Prt.Dn.2,COI2,5f98d1604472d4540c2821611d907b3741e28296,67
COI.0421.1Prt.Dn.2,COI2,c4f3c297b0ca1cddbdb1ff0f40645837676dc5eb,34
COI.0421.1Prt.Dn.2,COI2,857fe74b192be648e7ea74e77f0c4c53778f5204,88
COI.0421.1Prt.Dn.2,COI2,a62e45984e2469ba191f225f926e6b8e4617d08d,148
COI.0421.1Prt.Dn.2,COI2,5981c07ca176223525ef2b8f2b340ae485969950,112
COI.0421.1Prt.Dn.2,COI2,c3b0428f1df2cab07a081a747b1016f40ff5bff9,159
COI.0421.1Prt.Dn.2,COI2,a599e8e8b7d37d6632d17672bbcfba9d221a269b,87
COI.0421.1Prt.Dn.2,COI2,d45a2e9c6c9a450e3685e559755e34c5b3c96c0b,52
COI.0421.1Prt.Dn.2,COI2,d03b8cfa0dfec175a7269ced0f7112f3e89a5fa6,106
COI.0421.1Prt.Dn.2,COI2,290c2bb568e603754409c866dfa102da58c20169,148
COI.0421.1Prt.Dn.2,COI2,c6e6ba3d9feb7a74938e8a0b07ba9c2ede9ba900,102
COI.0421.1Prt.Dn.2,COI2,88953c731a0a4c1bb3694cd20de1e332f198d842,200
COI.0421.1Prt.Dn.2,COI2,5ba5d4cca314f5d57f39a7f8aa25fcb09c59dd9d,140
COI.0421.1Prt.Dn.2,COI2,d3b0b7ecc416c12c204c1142a81b737275b0607f,89
COI.0421.1Prt.Dn.2,COI2,57e53d75cfd345dc6b45516cab702419ef1f389a,71
COI.0421.1Prt.Dn.2,COI2,21527d20c171034e75c869c4ffbf86285b00c305,81
COI.0421.1Prt.Dn.2,COI2,7d1fc6de63ba4313b05f77b37bdad86db52febb8,79
COI.0421.1Prt.Dn.2,COI2,3939e311c470f4258a1867853bc0838106a6d9bb,49
COI.0421.1Prt.Dn.2,COI2,8fe79841d1a886cfe487bdf15bb55559500579fd,101
COI.0421.1Prt.Dn.2,COI2,b735e6de9de671bb95353c94208e0eec16669714,55
COI.0421.1Prt.Dn.2,COI2,817e2bc0383f18912a1712214e10deaf0704edae,42
COI.0421.1Prt.Dn.2,COI2,830f798fca91601fd24ec70c5092830feefd2143,25
COI.0421.1Prt.Dn.2,COI2,238fd1f27d9a2ff77edc76fe336ecb78a1e13af4,74
COI.0421.1Prt.Dn.2,COI2,bbefb07efa3dc6fe1f477768bf2397ea62b6b2c3,52
COI.0421.1Prt.Dn.2,COI2,3cf6874703cb464e0abc08016d9c7c67e4120d4b,27
COI.0421.1Prt.Dn.2,COI2,88367a15604d7a5f7a36a53ea1ade8530c09488a,63
COI.0421.1Prt.Dn.2,COI2,6c4319fef7fb60bfd96df8a311b066544fb2ba31,32
COI.0421.1Prt.Dn.2,COI2,9e343b6816f2f3de5f65ffe938c2d43840f52223,48
