Sample_name,Locus,Hash,nReads
MiMammal.0321.5Sqm.Up.1,MiMammal,33873de1ba0f09067c24b38d0355d4d97a8e5718,5
MiMammal.0321.5Sqm.Up.1,MiMammal,4988979f8954244992ea30a3498ba92209607719,2
MiMammal.0321.5Sqm.Up.2,MiMammal,fd7d89190e5c165cf36284ea0fca46c98216328c,1663
MiMammal.0321.5Sqm.Up.2,MiMammal,d6f69979e2e7c50e468fdb7a4ad00eb8296b8bf9,6093
MiMammal.0321.5Sqm.Up.2,MiMammal,02e4a86c119ca4b65e5b616135fa996aa2eb4372,1300
MiMammal.0321.5Sqm.Up.2,MiMammal,8519a7f742cabfdb887dc2013feba40c4584b8db,3
MiMammal.0321.5Sqm.Up.2,MiMammal,cb0cf229832374ff8f4ce89c20348a90da9c04e1,1175
MiMammal.0321.5Sqm.Up.2,MiMammal,406aec86258ef8821827fb46e2447a9aa2885cec,12
MiMammal.0321.5Sqm.Up.2,MiMammal,30742d31b3cc7a387b96133d0998ecee07c83597,4248
MiMammal.0321.5Sqm.Up.2,MiMammal,c161735732d10ef81323d9b5812491897d2eb5ab,7590
MiMammal.0321.5Sqm.Up.2,MiMammal,c6d586dc78d8ef5cac238cba2d5714407775bd69,7457
MiMammal.0321.5Sqm.Up.2,MiMammal,a56843c86d60d4423f69f4836868d31ea7eadf22,271
MiMammal.0321.5Sqm.Up.2,MiMammal,f5eff4f6cfa27ce87100f93e7674f050a7e2fdbd,1796
MiMammal.0321.5Sqm.Up.2,MiMammal,a2f2121e42c56aa5bd2b1fca2bd1b29869d2400a,636
MiMammal.0321.5Sqm.Up.2,MiMammal,e3bb86462242cc75b2d9159e96f588a2ca09a5d3,2243
MiMammal.0321.5Sqm.Up.2,MiMammal,b2adee11d0798c70d512e9c4a4ec72cf72fdab7a,3156
MiMammal.0321.5Sqm.Up.2,MiMammal,29c5193eb0e4e364b7127ff7590e8eb751d24740,92
MiMammal.0321.5Sqm.Up.2,MiMammal,ca4009e9f4961a466d717e77ddddcf64a374073d,18
MiMammal.0321.5Sqm.Up.2,MiMammal,814bd62cd7f0891ddea80fac0be25f86af95d790,1468
MiMammal.0321.5Sqm.Up.2,MiMammal,d375db6821a4402acdeffb3d216d4abdc355cd48,4561
MiMammal.0321.5Sqm.Up.2,MiMammal,2888591f23daf76ef3ae53a7d4bd6ffe13361bb8,2402
MiMammal.0321.5Sqm.Up.2,MiMammal,8001433422f2dfb9b7333084b5ae4a31130f34f2,1089
MiMammal.0321.5Sqm.Up.2,MiMammal,4d599bf71d8ba588d94d18e520b7f12419c17cd6,844
MiMammal.0321.5Sqm.Up.2,MiMammal,5c024b1d5c5f25af45599d69bd92b8837b2ba62f,1749
MiMammal.0321.5Sqm.Up.2,MiMammal,334d14d4c60937f5fd35b2803afc9d66a7408620,11626
MiMammal.0321.5Sqm.Up.2,MiMammal,7ed525639c40b9418b4743e59f833fa5b3bdf355,211
MiMammal.0321.5Sqm.Up.2,MiMammal,ed5e7e50aa64ed93aa7bb93f60e0d0ec95dd2cab,1082
MiMammal.0321.5Sqm.Up.2,MiMammal,8ad7b3ad6cac7dcf8cb45bc25832428c5b4176e8,19
