"","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"8e9f429c8eab3b46596b4536f5195d0337fb302d","      1","root","no rank","1.0000","","","","","","",""
"ac5a42f07b68c1d10938f177fef7fa13832f2684","   2759","Eukaryota","superkingdom","1.0000","","","","","","",""
"d2e0aeb96b0b18d62de71450e207a270099511ea","   2759","Eukaryota","superkingdom","1.0000","","","","","","",""
"850631fea09e9b5a61e04248621654ddaeb1119c","   2759","Eukaryota","superkingdom","1.0000","","","","","","",""
"96f1a8406363aded1028efccfcc649d4757e9ded","   3042","Chlamydomonadales","order","0.9991","Viridiplantae","Chlorophyta","Chlorophyceae","Chlamydomonadales","","",""
"a1e8f273ab35eda90dcabb13479464b719525628","   2759","Eukaryota","superkingdom","1.0000","","","","","","",""
"289329a4eeac0d7c5bed020ebeb892e6a9532200","   2759","Eukaryota","superkingdom","1.0000","","","","","","",""
"6f7dadedc5bba8dd3bca59fe37a82cadb6d875ef","      1","root","no rank",NA,"","","","","","",""
"de45f13bbc688a579d6ea67430e0bcae51205cac","      1","root","no rank","1.0000","","","","","","",""
"08f71c49620461c85862646fd6cefbed8688f15a","      1","root","no rank",NA,"","","","","","",""
"ec9c376e894b082fcad43e053473ab3c74d3aafa","   2759","Eukaryota","superkingdom","1.0000","","","","","","",""
"aba8a18ce45d0613afdb91abe81ab073603dda38","      1","root","no rank","1.0000","","","","","","",""
"c60c1142f48d69c5b0e629fc6ab388cfa8658d42","   2759","Eukaryota","superkingdom","0.9814","","","","","","",""
"321e2a512fb8e508429a4d65f2de160bb10c67ba","   2759","Eukaryota","superkingdom","0.9953","","","","","","",""
"8964a6985c08ae9ddaca537c89a779964e0cd4df","      1","root","no rank",NA,"","","","","","",""
"58047c143bf625933329cd2cb5ca74f4df0dc81d","  84394","Ploima","order","0.9581","Metazoa","Rotifera","Monogononta","Ploima","","",""
"c691537eedda90df19e716014e26813e8f3d2ab3","   2759","Eukaryota","superkingdom","0.9178","","","","","","",""
"d22aacde8e0f02281cf61ad43394b50ed26545f8","  33154","Opisthokonta","no rank","0.9999","","","","","","",""
"7e04e1fe42828b1cdc6b26719d64738b67f55bfb","      1","root","no rank","1.0000","","","","","","",""
"7c5f56e57a518280d4865ab1308cb5fa395c9aa7","   2759","Eukaryota","superkingdom","0.9714","","","","","","",""
"eaea84cd6c2070ddbcfd2a2f12de32ca87623ef3","      1","root","no rank","1.0000","","","","","","",""
"606d6fb9492a3189339156b371a9e607e6b7c209","      1","root","no rank","1.0000","","","","","","",""
"111d1009984f856591b95f97f019e8544c097d71","   2759","Eukaryota","superkingdom","0.9960","","","","","","",""
"9c47b45df5dd0eb62a0feee85927f8cc2aafd3b8","      1","root","no rank",NA,"","","","","","",""
"d26d08fcea165267309ff301337d75e14e934710","   2759","Eukaryota","superkingdom","0.9982","","","","","","",""
