"","MiFish.0321.1Prt.Up.1","MiFish.0321.2Brn.Dn.3","MiFish.0321.3Chk.Dn.1","MiFish.0321.3Chk.Dn.3","MiFish.0321.3Chk.Up.2","MiFish.0321.4Pad.Dn.2","MiFish.0321.4Pad.Dn.3","MiFish.0321.4Pad.Up11.1","MiFish.0321.4Pad.Up11.3","MiFish.0321.4Pad.Up5.1","MiFish.0321.4Pad.Up5.2","MiFish.0321.4Pad.Up5.3","MiFish.0321.5Sqm.Dn.3","MiFish.0321.5Sqm.Up.1","MiFish.0421.1Prt.Dn.1","MiFish.0421.1Prt.Dn.3","MiFish.0421.2Brn.Dn.2","MiFish.0421.2Brn.Dn.3","MiFish.0421.2Brn.Up.2","MiFish.0421.3Chk.Dn.1","MiFish.0421.3Chk.Dn.2","MiFish.0421.3Chk.Up.1","MiFish.0421.4Pad.Up11.2","MiFish.0421.4Pad.Up5.1","MiFish.0421.4Pad.Up5.2","MiFish.0421.5Sqm.Dn.2","MiFish.0421.5Sqm.Dn.3","MiFish.0421.5Sqm.Up.2","MiFish.0421.5Sqm.Up.3","MiFish.0821.1Prt.Dn.2","MiFish.0821.1Prt.Dn.3","MiFish.0821.1Prt.Up.2","MiFish.0821.1Prt.Up.3","MiFish.0821.2Brn.Dn.2","MiFish.0821.2Brn.Up.1","MiFish.0821.2Brn.Up.3","MiFish.0821.3Chk.Up.1","MiFish.0821.4Pad.Dn.1","MiFish.0821.5Sqm.Dn.1","MiFish.0821.2Brn.Dn.2TR2","MiFish.0821.2Brn.Dn.2TR3","MiFish.Kangaroo.Run.2"
"Metazoa__Chordata__Actinopteri__Perciformes__Cottidae__NA__NA__Taxon_040",0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Aves__Passeriformes__NA__NA__NA__Taxon_041",0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Actinopteri__Perciformes__NA__NA__NA__Taxon_042",0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Actinopteri__Perciformes__Cottidae__NA__NA__Taxon_043",0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Aves__NA__NA__NA__NA__Taxon_044",0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA__Taxon_045",0,0,0,0,0,0,0,128,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA__Taxon_046",0,0,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0
"Metazoa__Chordata__Actinopteri__Perciformes__Cottidae__NA__NA__Taxon_047",0,0,0,0,0,0,0,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA__Taxon_048",0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Mammalia__Rodentia__Cricetidae__NA__NA__Taxon_049",0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Mammalia__Primates__Hominidae__Homo__Homo sapiens__Taxon_050",0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Actinopteri__Perciformes__Cottidae__NA__NA__Taxon_051",0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Mammalia__Rodentia__NA__NA__NA__Taxon_052",0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,2,78,0,0,0,0,0,0,0,67,13,0
"Metazoa__Chordata__Mammalia__Carnivora__Procyonidae__Procyon__NA__Taxon_053",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0,0
"Metazoa__Chordata__Actinopteri__Perciformes__Cottidae__NA__NA__Taxon_054",0,0,0,0,0,0,0,0,225,0,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Actinopteri__Perciformes__Cottidae__NA__NA__Taxon_055",0,0,0,0,0,0,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Actinopteri__Cypriniformes__Leuciscidae__Pimephales__Pimephales promelas__Taxon_056",0,0,0,0,0,0,0,0,0,0,0,0,21554,34237,0,0,0,0,0,0,0,0,0,0,0,27234,31341,30674,31265,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Taxon_057",0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
